Key,English(en),Korean(ko)
"AI2_001","According to our scans, we have detected enemy signals along the path you are heading.","저희 측 스캔 결과, 앞으로 이동하실 경로에서 적 신호가 감지되었습니다."
"AI2_002","However, with my current sensors, I’m unable to pinpoint their exact location.","다만, 현재 사용 중인 감지 장비로는 정확한 위치를 확인할 수 없습니다."
"AI2_003","Based on your current position, there’s a 99% chance that a sniper is nearby.","현재 위치를 기반으로 분석한 결과, 저격수가 있을 확률이 99% 이상입니다."
"AI2_004","Please be prepared for a possible sniper attack.","잠재적인 저격수의 공격에 대비해 주시기 바랍니다."
"AI2_005","The sniper is likely positioned to the left or right of the rails, or on top of a building.","저격수는 레일 좌우나 건물 옥상에 있을 가능성이 높습니다."
"AI2_006","Multiple enemy signals detected ahead.","전방에서 다수의 적 신호가 확인됩니다."
"AI2_007","Prepare for combat.","전투에 대비해 주시기 바랍니다."
"AI2_008","In the latter part of the war between humans and AI, humanity evacuated the civilians to safe zones.","인류와 AI 간 전쟁 후반, 열세에 몰린 인류는 주민들을 안전지대로 대피시켰습니다."
"AI2_009","This city is one of those evacuation sites.","이 도시도 그 중 하나입니다."
"AI2_010","We don’t enter human cities.","저희는 인간의 도시에 진입하지 않습니다."
"AI2_011","Sharaku keeps human cities as symbols of victory and enjoys the fleeting nature of humanity.","샤라쿠는 인간의 도시를 승리의 상징으로 남겨두고, 인간의 유한함을 감상합니다."
"AI2_012","Our faction, Luash, sees human cities as reminders of humanity’s darkness.","저희 루아쉬는 인간의 도시를 인간성의 어두운 면을 상기시키는 장소로 인식합니다."
"AI2_013","There’s no reason to do so, and it’s not efficient.","파괴할 이유도 없고, 효율적이지도 않습니다."
"AI2_014","It would also be irrational.","그리고 비합리적입니다."
"AI2_015","Enemy signals detected ahead.","전방에서 적 신호가 감지됩니다."
"AI2_016","The battlefield up ahead is short and has little cover. The fight will be tough, but you’ll be able to escape the city quickly.","이 경로는 전장이 짧고 엄폐물이 적어 전투가 어려울 수 있지만, 빠르게 도시를 벗어날 수 있습니다."
"AI2_017","On the other hand, if you go left and take the detour, the path is longer but offers more cover, so the battle won’t be as difficult.","반면, 좌측 우회로는 거리가 조금 더 길지만, 엄폐물이 많아 전투 난이도가 낮아집니다."
"AI2_018","Understood. I will recalculate your route. That is a wise decision.","확인했습니다. 경로를 재설정하겠습니다. 현명한 선택입니다."
"AI2_019","Understood. As expected, I still can’t fully comprehend humanity’s belligerence.","역시 인류의 공격성은 저로서는 이해하기 어렵습니다."
"AI2_020","Still, I wish you luck.","행운을 빕니다."
"AI2_021","Small enemy squad approaching from the front!","전방에 소규모 적 부대가 접근 중입니다."
"AI2_022","Small enemy squad approaching from the right!","우측에서 소규모 적 부대가 접근 중입니다."
"AI2_023","No more enemy signals detected.","더 이상 적 신호는 감지되지 않습니다."
"AI2_024","Good job, human.","수고하셨습니다, 인간님."
"AI2_025","Understood. Well done, Ayla.","알겠습니다. 수고하셨습니다, 에일라."
"Pl_001","The rail is broken... Can I get down from here?","레일이 끊어져 있네... 밑으로 내려갈 수 있을까?"
"Pl_002","What happened in this city...?","이 도시에서는 도대체 무슨 일이 있었던 거지?"
"Pl_003","But there are no signs of battle here, and it seems too old...","그런데 전쟁의 흔적도 없고, 너무 오래된 것 같아..."
"Pl_004","You could have destroyed them.","파괴할 수도 있잖아."
"Pl_005","My name is Ayla. Call me by my name from now on.","내 이름은 에일라야. 앞으로는 이름으로 불러줘."
