Key,English(en),Korean(ko)
"PressText_Key","PRESS","시작 시 "
"Continue_Key","TO CONTINUE","키를 누르십시오"
"EXIT_Key","EXIT","나가기"
"EXITCONFIRM_Key","ARE YOU SURE YOU WANT TO EXIT?","정말로 나가시겠습니까?"
"Home_Key","HOME","메인"
"Setting_Key","SETTINGS","설정"
"NewGame_Key","New Game","새 게임"
"LoadGame_Key","LOAD GAME","이어하기"
"NewGameDescription_Key","Start New Story","새로운 세상으로"
"LoadGameDescription_Key","Continue Your Journey","여정 이어가기"
"GAMEPLAY_Key","GAMEPLAY","일반"
"AUDIO_Key","AUDIO","오디오"
"CONTROLS_Key","CONTROLS","컨트롤"
"VISUALS_Key","VISUALS","화면"
"GENERAL_Key","General","일반"
"MASTER_Key","Master volume","마스터 볼륨"
"BGM_Key","Music volume","배경음 볼륨"
"SFX_Key","SFX volume","효과음 볼륨"
"CONTROLLER_Key","CONTROLLER","컨트롤러"
"KEY BINDINGS_Key","KEY BINDINGS","키 설정"
"Language_Key","Language","언어"
"Look sensitivity_Key","Look sensitivity","마우스 민감도"
"Aim sensitivity_Key","Aim sensitivity","조준 시 민감도"
"Walk_Key","Walk","걷기"
"Run_Key","Run","달리기"
"Jump_Key","Jump","점프"
"Crouch_Key","Crouch","앉기"
"Use_Key","Use","사용"
"Interact_Key","Interact","상호작용"
"Reload_Key","Reload","재장전"
"DISPLAY_Key","DISPLAY","화"
"Resolution_Key","Resolution","해상도"
"Window mode_Key","Window mode","창 모드"
"GO AHEAD_Key","GO AHEAD","예"
"CANCEL_Key","CANCEL","아니오"
"LoadingText_Key","Press any key to continue...","아무 키나 눌러 진행..."
"NewConfirm_Key","ARE YOU SURE YOU WANT TO START NEW GAME?","저장된 데이터를 지우고 새 게임을 시작하겠습니까?"
"Press_Key","Press","키보드"
"TO INTERACT_Key","TO INTERACT","로 상호작용"
"Resume_Key","Resume","돌아가기"
"Load Last Checkpoint_Key","Load Last Checkpoint","최근 체크포인트로 이동"
"Exit to Main Menu_Key","Exit to Main Menu","메인메뉴로 이동"
"PREV PAGE_Key","PREV PAGE","이전 페이지"
"Next Page_Key","Next Page","다음 페이지"
"CLOSE_Key","CLOSE","닫기"
"weapon_Key","WEAPON","무기"
"DAMAGE","DAMAGE","피해량"
"RPM","RPM","연사속도"
"RECOIL","RECOIL","총기반동"
"WEIGHT","WEIGHT","무게"
"AMMO","AMMO","탄창"
"Rifle_Title","Rifle","돌격 소총"
"Pistol_Title","Pistol","권총"
"GrenadeLauncher_Title","EMP_Launcher","EMP 유탄 발사기"
"HackGun_Title","HackGun","해킹건"
"SniperRifle_Title","SniperRifle","저격총"
"Rifle_Description","An assault rifle once used by humans to fight against AI robots. Its rapid rate of fire makes it highly effective for eliminating enemies quickly.","인간이 AI 로봇과의 전투에서 사용했던 돌격소총입니다. 빠른 연사력 덕분에 적을 신속하게 제압하는 데 매우 효과적입니다."
"Pistol_Description","A standard-issue pistol. Its modular design allows for easy modifications, meaning it can be upgraded into new types of firearms with various parts.  ","기본적으로 지급되는 권총입니다. 모듈식 설계로 다양한 부품을 조합해 손쉽게 개조할 수 있으며, 새로운 형태의 총기로 업그레이드할 수 있습니다"
"GrenadeLauncher_Description","A specialized weapon developed to counter AI robots. Fires EMP grenades that, upon detonation, disable enemy robots for 3 seconds.","AI 로봇을 상대하기 위해 특별히 개발된 무기입니다. 발사한 EMP 유탄이 폭발하면, 적 로봇을 3초 동안 무력화시킵니다."
"HackGun_Description","A unique weapon engineered to fight AI robots. Each bullet is equipped with a chip that can take control of enemy robots. Has a chance to hack and control foes, but if it fails, the robot goes berserk.

- If you hit an enemy affected by an EMP grenade with the hacking gun, the hack is guaranteed to succeed.","AI 로봇과의 전투를 위해 설계된 특수 무기입니다. 각 탄환에는 적 로봇을 제어할 수 있는 칩이 내장되어 있습니다. 해킹에 성공하면 적을 조종할 수 있지만, 실패 시에는 로봇이 폭주하게 됩니다.

- EMP 유탄의 영향을 받은 적에게 해킹건을 명중시키면, 반드시 해킹에 성공합니다."
"SniperRifle_Description","A powerful firearm crafted by modifying a pistol. Delivers significant damage to enemies from a long distance.","권총을 개조해 만든 강력한 화기입니다. 먼 거리에서도 적에게 큰 피해를 입힐 수 있습니다."
"DECEASED_Key","DECEASED","사망"
"Required","Required","조건"
"PrevWeapon_Key","Prev
Weapon","이전
무기"
"NextWeapon_Key","Next
Weapon","다음
무기"
"Apply_Key","Apply","적용"
"ApplyConfirm_Key","Are you sure you want to apply the modification to this weapon?","현재 무기에 개조를 적용하시겠습니까?"
"Require_SelectWeapon","Please select a weapon.","무기를 선택하세요."
"Require_ForgeAvailable","Forge Available","합성 가능"
"Require_ForgeUnavailable","Forge Unavailable (Sight, ExtendedMag, Silencer Required)","합성 불가 (사이트, 확장탄창, 소음기 필요)"
"Require_ModificationUnavailable","Modifications Unavailable","개조 불가"
"Require_SelectAvailablePart","Select Available Part","사용 가능한 파츠를 선택하세요."
"Require_Available","Available","사용 가능"
"Require_Unavailable","Unavailable","사용 불가"
"Require_NoPartDataFound","No Part Data Found.","파츠 정보를 찾을 수 없습니다."
"Help_Key","Help","도움말"
"Sight_GrenadeLauncher1_Name","Scope","스코프"
"Sight_GrenadeLauncher1_Desc","A sight that allows you to aim accurately at distant targets.
","멀리 있는 목표를 정확하게 조준할 수 있도록 도와주는 조준기입니다."
"ExtendedMag_HackGun_Name","ExtendedMag","대용량 탄창"
"ExtendedMag_HackGun_Desc","Allows you to carry more rounds than a standard magazine.","기본 탄창보다 더 많은 탄약을 장전할 수 있습니다."
